course,type/info,day+time,location,enrollment,Instructor
HIST&nbsp; 105 - 002&nbsp;&nbsp; Post-Confederation Canada: A History of the Present,Queen's University | 2022 Winter | Seminar,We 10:00 - 11:30,KINES &amp; HLTH RM106,25,"Loucks,Alanna"

HIST&nbsp; 105 - 003&nbsp;&nbsp; Post-Confederation Canada: A History of the Present,Queen's University | 2022 Winter | Seminar,We 11:30 - 13:00,KINES &amp; HLTH RM106,23,"Loucks,Alanna"

HIST&nbsp; 105 - 004&nbsp;&nbsp; Post-Confederation Canada: A History of the Present,Queen's University | 2022 Winter | Seminar,Th 14:30 - 16:00,ONTARIO RM207,24,"McNeill,Katie-Marie"

HIST&nbsp; 105 - 005&nbsp;&nbsp; Post-Confederation Canada: A History of the Present,Queen's University | 2022 Winter | Seminar,Th 16:00 - 17:30,ONTARIO RM207,23,"McNeill,Katie-Marie"

HIST&nbsp; 105 - 006&nbsp;&nbsp; Post-Confederation Canada: A History of the Present,Queen's University | 2022 Winter | Seminar,Fr 08:30 - 10:00,JEFFERY RM115,23,"Smith,Rebecca Joan Helen"

